1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,HouseAge,RemodAge,GarageAge,TotalSF,AboveGradeSF,IsRemodeled,Has2ndFlr,HasPorch,HasDeck
1217,0.0,3.0,Av,611,GLQ,577,497,Unf,1217,Gd,9947,,0.0,27,5,7,1188,35,34,35.0,2405.0,1217.0,1,0,0,0
1040,0.0,2.0,,0,,0,625,Unf,1040,TA,7200,60.0,0.0,0,7,5,0,75,75,75.0,1040.0,1040.0,0,0,0,0
612,612.0,2.0,Av,294,GLQ,318,528,RFn,1224,Gd,3000,30.0,76.0,234,5,6,612,16,16,16.0,1836.0,1224.0,0,1,0,0
1022,752.0,2.0,No,0,Unf,952,468,Unf,1774,TA,6120,51.0,0.0,0,5,7,952,94,75,94.0,2726.0,1774.0,1,1,0,0
961,406.0,4.0,No,241,Rec,229,384,Unf,1367,TA,8405,50.0,0.0,130,8,5,861,125,75,47.0,2228.0,1367.0,1,1,0,0
803,557.0,2.0,No,0,Unf,803,297,,1360,Gd,7200,60.0,0.0,65,6,5,803,87,30,74.0,2163.0,1360.0,1,1,0,0
848,0.0,1.0,Av,697,GLQ,151,420,RFn,848,Gd,4426,,147.0,0,5,6,848,21,21,21.0,1696.0,848.0,0,0,0,0
1482,780.0,,Gd,871,GLQ,611,749,Fin,2262,Gd,12244,85.0,226.0,0,5,8,1482,22,22,22.0,3744.0,2262.0,0,1,0,0
1220,0.0,2.0,No,836,LwQ,0,396,Unf,1220,TA,8877,67.0,0.0,0,5,4,836,74,74,74.0,2056.0,1220.0,0,0,0,0
1414,0.0,2.0,No,0,Unf,1375,398,Fin,1414,Gd,3072,,18.0,20,5,7,1375,21,21,21.0,2789.0,1414.0,0,0,0,0
1134,924.0,3.0,No,319,Rec,416,396,Unf,2058,TA,9600,60.0,0.0,0,5,6,735,108,75,75.0,2793.0,2058.0,1,1,0,0
1088,110.0,4.0,No,0,,901,0,,1198,TA,5586,60.0,0.0,98,7,6,901,105,27,,2099.0,1198.0,1,1,0,0
1659,0.0,2.0,No,1158,GLQ,343,499,Fin,1659,Ex,5664,40.0,0.0,59,5,8,1501,25,25,25.0,3160.0,1659.0,0,0,0,0
1012,0.0,2.0,No,0,Unf,1012,308,Unf,1012,TA,8263,59.0,0.0,22,5,6,1012,105,75,105.0,2024.0,1012.0,1,0,0,0
1687,998.0,5.0,No,523,GLQ,301,672,Fin,3082,TA,15863,102.0,0.0,63,3,7,824,105,55,55.0,3509.0,2685.0,1,1,0,0
1032,,4.0,No,0,Unf,360,672,Unf,1812,Gd,7630,76.0,0.0,0,9,5,360,125,29,26.0,1392.0,1032.0,1,0,0,1
1057,872.0,3.0,No,738,,319,650,Fin,1929,Gd,7050,,0.0,235,5,7,1057,24,24,24.0,2986.0,1929.0,0,1,0,0
954,0.0,3.0,Av,483,ALQ,428,576,Unf,954,TA,10780,55.0,0.0,0,5,5,911,49,49,49.0,1865.0,954.0,0,0,0,0
1838,0.0,2.0,Av,1260,GLQ,578,765,,1838,Ex,14601,85.0,584.0,68,5,9,1838,19,19,19.0,3676.0,1838.0,0,0,0,0
1640,0.0,3.0,No,728,BLQ,568,924,Unf,1640,Gd,14778,,72.0,0,7,6,1296,71,19,32.0,2936.0,1640.0,1,0,0,0
1148,0.0,3.0,No,1148,BLQ,0,672,Unf,1148,TA,7931,70.0,0.0,0,5,5,1148,66,66,66.0,2296.0,1148.0,0,0,0,0
950,0.0,,No,412,BLQ,251,280,Unf,950,TA,9758,61.0,0.0,0,5,5,950,54,54,44.0,1900.0,950.0,0,0,0,0
1065,846.0,3.0,No,380,,397,471,RFn,1911,Gd,9554,80.0,125.0,81,5,8,777,32,31,32.0,2688.0,1911.0,1,1,0,0
915,720.0,3.0,No,300,Rec,765,440,Unf,1635,TA,8737,70.0,0.0,38,7,6,1065,102,75,75.0,2700.0,1635.0,1,1,0,0
1316,0.0,3.0,Av,0,,1316,440,Fin,1316,Gd,11175,103.0,0.0,20,5,7,1316,18,18,18.0,2632.0,1316.0,0,0,0,0
1442,0.0,2.0,No,0,Unf,1442,615,RFn,1442,TA,11717,,571.0,0,6,6,1442,55,55,55.0,2884.0,1442.0,0,0,0,0
1078,0.0,3.0,No,734,GLQ,344,500,Fin,1078,TA,12537,,0.0,0,6,5,1078,54,17,54.0,2156.0,1078.0,1,0,0,0
1120,0.0,3.0,No,932,ALQ,108,544,RFn,1120,Fa,6970,85.0,0.0,0,5,4,1040,64,64,64.0,2160.0,1120.0,0,0,0,0
779,640.0,3.0,No,353,GLQ,55,527,Fin,1419,Gd,7750,,0.0,0,5,8,408,23,23,23.0,1827.0,1419.0,0,1,0,0
707,682.0,3.0,No,0,Unf,651,240,Unf,1389,TA,3378,60.0,0.0,0,8,7,651,79,33,78.0,2040.0,1389.0,1,1,0,0
1063,0.0,3.0,No,354,Rec,412,280,RFn,1063,TA,9920,80.0,110.0,0,5,5,1056,71,71,71.0,2119.0,1063.0,0,0,0,0
1792,0.0,2.0,Gd,1567,GLQ,225,874,Fin,1792,Ex,11846,72.0,562.0,49,5,9,1792,22,21,22.0,3584.0,1792.0,1,0,0,0
1216,,2.0,No,897,GLQ,319,402,Unf,1216,TA,4500,32.0,116.0,125,5,6,1216,27,27,27.0,2432.0,1216.0,0,0,0,0
998,764.0,4.0,No,0,Unf,596,576,Unf,1762,Gd,7200,60.0,0.0,0,7,7,596,105,75,36.0,2358.0,1762.0,1,1,0,0
847,1112.0,4.0,Av,0,Unf,847,434,Fin,1959,Gd,11796,59.0,0.0,48,5,7,847,21,20,21.0,2806.0,1959.0,1,1,0,0
1208,,3.0,No,767,ALQ,441,546,RFn,1208,TA,11250,,0.0,42,6,6,1208,48,48,48.0,2416.0,1208.0,0,0,0,0
874,650.0,3.0,No,460,BLQ,414,315,Unf,1524,TA,11344,78.0,180.0,0,5,5,874,67,67,67.0,2398.0,1524.0,0,1,0,0
796,358.0,3.0,No,735,BLQ,61,240,Unf,1154,Gd,5436,40.0,0.0,96,8,4,796,103,18,103.0,1950.0,1154.0,1,1,0,0
1048,0.0,3.0,,0,,0,420,Unf,1048,TA,7200,60.0,0.0,27,5,5,0,75,75,75.0,1048.0,1048.0,0,0,0,0
886,0.0,2.0,No,0,Unf,190,273,Unf,886,TA,5784,50.0,0.0,20,8,5,190,87,29,87.0,1076.0,886.0,1,0,0,0
943,0.0,2.0,Gd,943,GLQ,0,600,Unf,943,TA,7032,,0.0,0,5,5,943,46,46,46.0,1886.0,943.0,0,0,0,0
866,902.0,3.0,No,400,GLQ,466,603,RFn,1768,Gd,9803,75.0,0.0,108,5,7,866,20,20,20.0,2634.0,1768.0,0,1,0,0
1422,1177.0,4.0,No,0,Unf,1393,779,Fin,2599,Gd,14774,108.0,165.0,30,5,9,1393,26,26,26.0,3992.0,2599.0,0,1,0,0
912,0.0,2.0,No,456,Rec,456,275,RFn,912,TA,10150,70.0,1.0,0,5,5,912,67,67,67.0,1824.0,912.0,0,0,0,0
882,0.0,2.0,,0,,0,308,Unf,882,TA,12702,70.0,0.0,45,5,5,0,69,69,69.0,882.0,882.0,0,0,0,0
1337,0.0,2.0,No,266,GLQ,1139,511,Fin,1337,Gd,4060,34.0,0.0,68,5,6,1405,27,26,27.0,2742.0,1337.0,1,0,0,0
2076,0.0,2.0,Gd,1386,GLQ,690,850,,2076,Ex,13891,107.0,,229,5,10,2076,19,19,19.0,4152.0,2076.0,0,0,0,0
1328,1203.0,4.0,Av,56,LwQ,1198,752,RFn,2531,Gd,12257,65.0,513.0,98,5,8,1318,30,30,30.0,3849.0,2531.0,0,1,0,0
981,787.0,3.0,No,569,ALQ,162,240,Unf,1768,Gd,7200,60.0,252.0,0,7,5,731,88,75,86.0,2499.0,1768.0,1,1,0,0
1625,0.0,2.0,Gd,1573,,0,538,,1625,Gd,4750,44.0,481.0,0,5,8,1573,19,18,19.0,3198.0,1625.0,1,0,0,0
1444,700.0,4.0,Gd,697,Rec,747,389,Fin,2144,Gd,159000,,472.0,98,7,6,1444,67,19,67.0,3588.0,2144.0,1,1,0,0
1521,,,No,0,Unf,1237,880,Unf,2775,Gd,13500,75.0,0.0,502,9,10,1237,132,25,37.0,2758.0,1521.0,1,0,0,0
1140,728.0,3.0,No,0,Unf,585,477,Fin,1868,TA,12090,78.0,74.0,112,7,6,585,41,22,41.0,2453.0,1868.0,1,1,0,0
1525,0.0,3.0,Av,1400,GLQ,125,541,RFn,1525,Gd,9100,70.0,244.0,36,5,7,1525,25,25,25.0,3050.0,1525.0,0,0,0,0
1571,0.0,3.0,Gd,0,,1571,722,Fin,1571,Gd,10991,89.0,80.0,36,5,8,1571,18,18,18.0,3142.0,1571.0,0,0,0,0
796,0.0,2.0,No,0,Unf,796,0,,796,TA,8777,67.0,0.0,0,7,5,796,115,75,,1592.0,796.0,1,0,0,1
1378,994.0,4.0,No,0,Unf,994,432,RFn,2372,TA,6600,60.0,0.0,287,4,5,994,133,60,40.0,3366.0,2372.0,1,1,0,0
802,670.0,3.0,No,0,Unf,384,402,RFn,1472,Gd,10784,,76.0,0,5,7,384,34,33,34.0,1856.0,1472.0,1,1,0,0
960,0.0,0.0,Av,648,GLQ,0,364,Unf,960,TA,10246,,0.0,0,9,4,648,60,24,60.0,1608.0,960.0,1,0,0,0
734,1104.0,4.0,Av,0,Unf,732,372,Fin,1838,TA,21930,60.0,0.0,40,5,5,732,20,20,20.0,2570.0,1838.0,0,1,0,0
1309,0.0,3.0,No,663,ALQ,0,484,RFn,1309,Gd,10140,78.0,99.0,0,6,6,1040,51,26,51.0,2349.0,1309.0,1,0,0,0
2069,574.0,3.0,Av,0,Unf,2153,694,Fin,2643,Ex,13693,105.0,772.0,84,5,9,2153,19,19,19.0,4796.0,2643.0,0,1,0,0
676,455.0,,No,0,Unf,676,200,Unf,1131,TA,5720,52.0,0.0,0,6,5,676,84,75,84.0,1807.0,1131.0,1,1,0,0
960,1000.0,4.0,No,0,Unf,960,400,Unf,1960,TA,7596,60.0,360.0,0,5,5,960,73,73,73.0,2920.0,1960.0,0,1,0,0
1144,0.0,3.0,No,25,BLQ,247,336,Unf,1144,TA,9204,71.0,0.0,88,5,5,1144,62,62,63.0,2288.0,1144.0,0,0,0,0
1056,0.0,0.0,No,1056,GLQ,0,576,Unf,1056,TA,6979,64.0,0.0,56,5,6,1056,45,45,45.0,2112.0,1056.0,0,0,0,0
693,0.0,2.0,No,0,,693,0,,693,Fa,4118,153.0,0.0,20,4,4,693,84,75,,1386.0,693.0,1,0,0,0
1494,0.0,3.0,Gd,1200,GLQ,279,576,RFn,1494,Gd,9236,79.0,0.0,27,5,6,1479,28,28,28.0,2973.0,1494.0,0,0,0,0
1646,0.0,2.0,Gd,1373,GLQ,221,482,Fin,1646,Gd,3842,44.0,174.0,53,5,8,1594,21,20,21.0,3240.0,1646.0,1,0,0,0
864,0.0,3.0,Av,390,ALQ,474,352,Unf,864,TA,7180,60.0,0.0,0,7,5,864,53,53,36.0,1728.0,864.0,0,0,0,0
1566,0.0,3.0,Av,1078,GLQ,488,750,RFn,1566,Gd,9000,75.0,36.0,168,5,8,1566,17,17,17.0,3132.0,1566.0,0,0,0,0
735,660.0,3.0,No,593,BLQ,130,497,Unf,1395,TA,12936,,0.0,116,6,6,723,53,53,53.0,2118.0,1395.0,0,1,0,0
848,0.0,2.0,No,152,BLQ,628,539,Unf,1208,TA,6240,52.0,0.0,23,5,4,780,100,75,63.0,1628.0,848.0,1,0,0,0
939,574.0,4.0,Mn,0,Unf,939,180,Unf,1513,TA,6120,51.0,0.0,0,8,5,939,105,21,92.0,2452.0,1513.0,1,1,0,1
959,408.0,3.0,No,425,LwQ,459,560,,1367,TA,6240,52.0,0.0,0,6,6,884,94,75,47.0,2251.0,1367.0,1,1,0,0
955,0.0,3.0,No,763,BLQ,192,386,Unf,955,TA,7742,66.0,0.0,0,7,5,955,59,59,59.0,1910.0,955.0,0,0,0,0
1077,0.0,3.0,No,0,Unf,1007,210,Unf,1077,TA,9786,60.0,0.0,100,4,3,1007,103,75,103.0,2084.0,1077.0,1,0,0,0
1056,0.0,3.0,Mn,1056,Rec,0,572,Fin,1056,TA,34650,100.0,0.0,0,5,5,1056,70,70,70.0,2112.0,1056.0,0,0,0,0
756,797.0,3.0,No,0,Unf,756,615,RFn,1553,Gd,8125,65.0,0.0,45,5,7,756,20,19,20.0,2309.0,1553.0,1,1,0,0
1614,0.0,3.0,Av,20,GLQ,1594,865,RFn,1614,Gd,11210,86.0,240.0,59,5,7,1614,20,19,20.0,3228.0,1614.0,1,0,0,0
2042,0.0,3.0,No,0,,2042,1390,RFn,2042,Ex,12704,98.0,306.0,90,5,8,2042,17,16,16.0,4084.0,2042.0,1,0,0,0
1073,0.0,2.0,No,0,Unf,1073,326,,1073,TA,5400,60.0,0.0,0,6,5,1073,104,57,57.0,2146.0,1073.0,1,0,0,0
1072,213.0,2.0,No,336,BLQ,295,240,Unf,1285,TA,8635,50.0,0.0,0,5,5,672,77,24,77.0,1957.0,1285.0,1,1,0,0
2117,0.0,4.0,Mn,865,BLQ,340,550,Fin,2117,TA,12925,,0.0,42,7,6,1205,55,55,55.0,3322.0,2117.0,0,0,0,0
605,0.0,2.0,Mn,348,,180,0,,605,TA,9098,58.0,0.0,0,7,4,528,105,23,,1133.0,605.0,1,0,0,0
1150,0.0,3.0,No,179,ALQ,465,300,RFn,1150,TA,7945,70.0,0.0,0,6,5,1150,66,66,66.0,2300.0,1150.0,0,0,0,0
728,728.0,,No,0,Unf,728,400,,1456,Gd,8029,51.0,0.0,24,5,6,728,20,20,20.0,2184.0,1456.0,0,1,0,1
999,0.0,3.0,Av,867,ALQ,77,588,RFn,999,Ex,12122,,210.0,76,9,7,944,64,18,64.0,1943.0,999.0,1,0,0,0
750,750.0,3.0,No,0,Unf,750,564,RFn,1500,Gd,8846,68.0,0.0,35,5,6,750,20,19,20.0,2250.0,1500.0,1,1,0,0
1336,0.0,2.0,Mn,841,BLQ,324,375,Unf,1336,TA,15750,90.0,56.0,0,5,5,1165,72,72,72.0,2501.0,1336.0,0,0,0,0
864,729.0,3.0,No,759,GLQ,80,398,,1593,TA,7415,62.0,0.0,75,5,6,839,21,21,21.0,2432.0,1593.0,0,1,0,0
1130,1054.0,3.0,Av,936,GLQ,168,836,Fin,2184,Ex,11308,96.0,154.0,102,5,9,1104,17,17,17.0,3288.0,2184.0,0,1,0,0
1560,0.0,3.0,No,0,Unf,1560,573,Fin,1560,Gd,9196,129.0,0.0,150,5,7,1560,22,22,22.0,3120.0,1560.0,0,0,0,0
888,,3.0,No,386,LwQ,342,312,Unf,1644,Gd,9480,79.0,224.0,0,7,5,728,83,30,83.0,1616.0,888.0,1,0,0,0
630,0.0,,Av,515,GLQ,115,286,Unf,630,Gd,1526,21.0,0.0,0,8,4,630,55,23,55.0,1260.0,630.0,1,0,0,0
1113,0.0,3.0,No,751,BLQ,392,504,RFn,1113,TA,7917,,174.0,30,7,6,1143,49,49,38.0,2256.0,1113.0,0,0,0,0
1071,1101.0,,No,0,Unf,1063,947,RFn,2172,Gd,14154,109.0,350.0,62,5,7,1063,19,19,19.0,3235.0,2172.0,0,1,0,0
796,550.0,2.0,No,0,Unf,560,384,Unf,1346,TA,11767,70.0,0.0,24,7,4,560,115,25,75.0,1906.0,1346.0,1,1,0,0
1184,1426.0,4.0,Av,64,GLQ,1120,550,Fin,2610,Ex,9000,75.0,0.0,364,5,8,1184,18,18,18.0,3794.0,2610.0,0,1,0,0
1026,932.0,3.0,No,0,Unf,1026,936,Fin,1958,Gd,10625,85.0,0.0,210,5,7,1026,20,20,20.0,2984.0,1958.0,0,1,0,0
1468,0.0,3.0,No,0,Unf,1468,898,Fin,1468,Gd,9612,74.0,72.0,150,5,8,1468,17,16,17.0,2936.0,1468.0,1,0,0,0
1302,432.0,4.0,,0,,0,539,Unf,1734,Gd,10125,75.0,0.0,0,5,5,0,48,48,48.0,1734.0,1734.0,0,1,0,0
768,432.0,3.0,No,352,BLQ,416,240,Unf,1200,TA,11767,70.0,0.0,0,6,5,768,79,30,79.0,1968.0,1200.0,1,1,0,0
1112,438.0,2.0,No,812,GLQ,280,438,Fin,1550,Gd,8125,65.0,100.0,168,5,7,1092,19,18,18.0,2642.0,1550.0,1,1,0,0
954,795.0,5.0,No,0,Unf,795,440,Unf,2230,TA,6204,60.0,0.0,188,5,4,795,113,75,28.0,2544.0,1749.0,1,1,0,0
1166,0.0,3.0,No,0,Unf,1064,240,Unf,1639,TA,10480,51.0,0.0,0,5,6,1064,89,75,89.0,2230.0,1166.0,1,0,0,0
864,0.0,3.0,No,521,BLQ,169,624,,864,TA,9100,70.0,0.0,0,5,5,864,67,67,61.0,1728.0,864.0,0,0,0,0
1621,0.0,3.0,Mn,213,ALQ,995,440,,1621,Gd,14145,91.0,0.0,45,7,7,1208,41,27,41.0,2829.0,1621.0,1,0,0,0
483,504.0,,No,162,ALQ,321,264,Unf,987,Gd,1680,21.0,510.0,0,8,6,483,53,18,53.0,1470.0,987.0,1,1,0,0
1238,1281.0,4.0,Gd,965,GLQ,245,628,RFn,2519,Gd,26178,42.0,293.0,27,5,7,1210,36,35,36.0,3729.0,2519.0,1,1,0,0
765,600.0,3.0,No,765,LwQ,0,440,Unf,1365,TA,2368,24.0,312.0,36,6,5,765,55,55,55.0,2130.0,1365.0,0,1,0,0
1149,1141.0,4.0,Mn,0,Unf,1128,779,Unf,2290,Gd,11250,,0.0,0,5,8,1128,23,23,23.0,3418.0,2290.0,0,1,0,0
1249,1347.0,4.0,Av,0,Unf,1249,840,RFn,2596,Gd,16259,111.0,370.0,154,5,9,1249,19,19,19.0,3845.0,2596.0,0,1,0,0
907,0.0,3.0,No,288,Rec,619,352,Unf,907,TA,8593,77.0,0.0,0,6,4,907,68,68,61.0,1814.0,907.0,0,0,0,0
855,,3.0,No,566,ALQ,289,440,,1456,TA,2280,24.0,0.0,0,6,6,855,49,49,49.0,1710.0,855.0,0,0,0,0
1190,0.0,3.0,Av,803,ALQ,303,540,,1190,TA,7728,70.0,120.0,18,6,5,1106,63,63,63.0,2296.0,1190.0,0,0,0,0
858,0.0,2.0,No,322,ALQ,536,684,Unf,858,TA,7340,,0.0,0,6,4,858,54,54,46.0,1716.0,858.0,0,0,0,0
2223,0.0,3.0,Gd,1880,ALQ,343,516,Fin,2223,TA,13651,95.0,1115.0,0,6,7,2223,52,52,52.0,4446.0,2223.0,0,0,0,1
1005,0.0,2.0,No,0,Unf,1005,672,Unf,1005,Fa,10434,60.0,0.0,0,5,4,1005,70,70,48.0,2010.0,1005.0,0,0,0,0
1086,809.0,3.0,No,0,Unf,712,409,Fin,1895,Gd,10832,,0.0,46,5,7,712,31,29,31.0,2607.0,1895.0,1,1,0,0
1040,0.0,3.0,No,906,Rec,134,384,Unf,1040,TA,11200,70.0,0.0,0,5,5,1040,60,60,60.0,2080.0,1040.0,0,0,0,0
1264,0.0,3.0,No,697,Rec,571,461,Unf,1264,TA,9300,73.0,324.0,0,5,5,1268,65,65,65.0,2532.0,1264.0,0,0,0,0
874,887.0,3.0,No,0,Unf,874,578,Fin,1761,Gd,10207,84.0,0.0,105,6,7,874,18,18,18.0,2635.0,1761.0,0,1,0,0
1034,0.0,3.0,Av,539,GLQ,473,888,Unf,1034,TA,12328,,335.0,0,5,6,1012,49,49,49.0,2046.0,1034.0,0,0,0,0
1363,0.0,2.0,Gd,226,LwQ,96,439,Unf,1363,TA,39104,73.0,0.0,0,7,7,1385,71,20,71.0,2748.0,1363.0,1,0,0,0
1689,0.0,3.0,No,0,Unf,1436,480,Unf,1689,TA,9855,73.0,0.0,0,5,6,1436,69,69,69.0,3125.0,1689.0,0,0,0,0
2113,0.0,2.0,Gd,1696,GLQ,413,839,Fin,2113,Gd,10437,91.0,660.0,46,6,8,2109,30,30,30.0,4222.0,2113.0,0,0,0,0
1573,0.0,3.0,No,788,GLQ,785,544,RFn,1573,Gd,9808,67.0,110.0,72,5,7,1573,23,23,23.0,3146.0,1573.0,0,0,0,0
2364,0.0,,Gd,2188,GLQ,142,820,Fin,2364,Ex,12919,100.0,760.0,67,5,9,2330,16,15,16.0,4694.0,2364.0,1,0,0,0
1057,977.0,,No,739,GLQ,318,645,RFn,2034,Gd,9375,,573.0,36,5,7,1057,28,27,27.0,3091.0,2034.0,1,1,0,0
1291,0.0,2.0,Mn,1003,GLQ,288,431,Unf,1291,Gd,2887,,0.0,0,5,6,1291,29,28,29.0,2582.0,1291.0,1,0,0,1
858,0.0,2.0,Gd,696,BLQ,162,0,,858,TA,7207,50.0,0.0,0,7,5,858,67,17,,1716.0,858.0,1,0,0,1
698,560.0,2.0,Mn,204,Rec,356,280,Unf,1258,TA,9060,60.0,0.0,0,5,6,560,86,75,86.0,1818.0,1258.0,1,1,0,0
438,0.0,1.0,No,290,Rec,0,246,Unf,438,Fa,8400,60.0,0.0,0,5,2,290,105,75,95.0,728.0,438.0,1,0,0,0
672,728.0,,No,209,ALQ,463,440,Fin,1400,TA,7844,74.0,203.0,0,7,6,672,47,47,47.0,2072.0,1400.0,0,1,0,0
954,0.0,2.0,No,0,Unf,920,240,Unf,954,Fa,6305,50.0,0.0,0,7,5,920,87,75,87.0,1874.0,954.0,1,0,0,0
1445,0.0,,Gd,564,,563,645,RFn,1445,TA,12095,,115.0,0,6,6,1127,61,61,61.0,2572.0,1445.0,0,0,0,0
1072,0.0,2.0,Gd,459,,88,525,,1072,TA,3675,35.0,80.0,28,5,6,547,20,20,20.0,1619.0,1072.0,0,0,0,0
1664,0.0,4.0,,0,,0,0,,1664,TA,9825,75.0,0.0,0,5,5,0,60,60,,1664.0,1664.0,0,0,0,0
1445,689.0,5.0,No,0,Unf,844,441,Unf,2134,Gd,11888,,0.0,60,6,6,844,109,31,95.0,2978.0,2134.0,1,1,1,0
1940,1254.0,4.0,Mn,428,BLQ,537,380,Unf,3194,TA,12168,78.0,0.0,0,6,8,965,91,27,91.0,4159.0,3194.0,1,1,0,0
912,912.0,4.0,Av,0,Unf,912,0,,1824,TA,9400,94.0,0.0,0,5,6,912,54,54,,2736.0,1824.0,0,1,0,0
888,868.0,3.0,No,742,ALQ,130,422,Fin,1756,TA,9303,,42.0,122,5,6,872,29,28,29.0,2628.0,1756.0,1,1,0,0
912,0.0,2.0,No,595,ALQ,317,576,Unf,912,Gd,8872,72.0,300.0,240,8,5,912,60,17,33.0,1824.0,912.0,1,0,0,0
1509,0.0,3.0,Av,783,GLQ,678,600,RFn,1509,Gd,10200,85.0,219.0,0,5,6,1461,37,36,37.0,2970.0,1509.0,1,0,0,0
1160,448.0,3.0,No,264,BLQ,712,216,Unf,1608,Gd,6171,51.0,0.0,16,6,6,976,100,35,100.0,2584.0,1608.0,1,1,0,1
1316,0.0,3.0,No,28,GLQ,1288,397,Fin,1316,Gd,10237,65.0,0.0,0,5,6,1316,20,19,20.0,2632.0,1316.0,1,0,0,0
1015,0.0,3.0,No,489,Rec,279,450,Unf,1015,TA,6120,51.0,0.0,0,7,5,768,100,75,100.0,1783.0,1015.0,1,0,0,0
756,378.0,3.0,No,312,ALQ,444,240,Unf,1134,TA,8160,60.0,0.0,0,6,5,756,85,75,85.0,1890.0,1134.0,1,1,0,0
1636,0.0,3.0,No,63,GLQ,1560,865,RFn,1636,Gd,13501,116.0,208.0,60,5,8,1623,19,19,19.0,3259.0,1636.0,0,0,0,0
660,660.0,3.0,No,0,Unf,660,400,Fin,1320,Gd,7750,,0.0,48,5,7,660,22,22,22.0,1980.0,1320.0,0,1,0,0
1160,966.0,3.0,Gd,249,LwQ,0,538,Fin,2126,TA,28698,,0.0,0,5,5,1013,58,58,58.0,3139.0,2126.0,0,1,0,0
1128,0.0,3.0,Mn,776,ALQ,344,525,RFn,1128,TA,8700,80.0,148.0,20,6,5,1120,62,62,62.0,2248.0,1128.0,0,0,0,0
1306,0.0,2.0,Mn,860,BLQ,132,756,Unf,1306,TA,8712,64.0,0.0,0,7,5,992,68,25,57.0,2298.0,1306.0,1,0,0,0
798,546.0,3.0,No,0,Unf,546,0,,1344,TA,1533,21.0,0.0,0,6,4,546,55,17,,1890.0,1344.0,1,1,0,0
1576,978.0,3.0,No,0,,718,704,Unf,2554,TA,10800,60.0,0.0,48,8,7,718,135,27,29.0,3272.0,2554.0,1,1,0,0
893,0.0,2.0,No,220,ALQ,625,576,Unf,893,Gd,9600,60.0,0.0,0,7,5,845,76,22,40.0,1738.0,893.0,1,0,0,0
